Substance Name,CASRN,LD50,Smiles,MW,Normalized_LD50
Glycine,56-40-6,5137,NCC(O)=O,75.067,68.43220056749304
L- Alanine,56-41-7,2512,CC(N)C(O)=O,89.09399999999998,28.194940175544936
L- Lysine,56-87-1,6638,NCCCCC(N)C(O)=O,146.19,45.406662562418774
L-Arginine,74-79-3,6510,NC(CCCN=C(N)N)C(O)=O,174.204,37.369980023420815
L-Asparagine,70-47-3,6461,NC(CC(N)=O)C(O)=O,132.119,48.90288300698612
L-Aspartic acid,56-84-8,3263,NC(CC(O)=O)C(O)=O,133.10299999999998,24.514849402342552
L-Cysteine,52-90-4,1476,NC(CS)C(O)=O,121.16099999999997,12.182137816624165
L-Glutamic acid,56-86-0,5184,NC(CCC(O)=O)C(O)=O,147.13,35.234146673010265
L-Glutamine,56-85-9,7058,N[C@@H](CCC(N)=O)C(O)=O,146.14600000000002,48.29417158184281
L-Histidine,71-00-1,8656,NC(Cc1[nH]cnc1)C(O)=O,155.15699999999998,55.788652783954326
L-Isoleucine,73-32-5,2019,CC[C@H](C)[C@H](N)C(O)=O,131.17499999999998,15.391652372784451
L-Leucine,61-90-5,2402,CC(C)CC(N)C(O)=O,131.17499999999998,18.311416047265105
L-Methionine,63-68-3,5235,CSCCC(N)C(O)=O,149.215,35.08360419528868
L-Phenylalanine,63-91-2,2546,NC(Cc1ccccc1)C(O)=O,165.19199999999995,15.41236863770643
L-Proline,147-85-3,2092,OC(=O)C1CCCN1,115.13200000000002,18.170447833790778
L-Serine,56-45-1,5646,NC(CO)C(O)=O,105.09299999999999,53.72384459478748
L-Threonine,72-19-5,5986,CC(O)C(N)C(O)=O,119.11999999999999,50.25184687709873
L-Tryptophan,73-22-3,1424,NC(Cc1c[nH]c2ccccc12)C(O)=O,204.22899999999998,6.97256511073354
L-Tyrosine,60-18-4,2077,NC(Cc1ccc(O)cc1)C(O)=O,181.19099999999997,11.463041762559952
L-Valine,72-18-4,2672,CC(C)C(N)C(O)=O,117.14799999999998,22.80875473759689
