Substance Name,CASRN,LD50,Smiles,MW,Normalized_LD50,GCN_pred,Normalized_GCN_pred
Glycine,56-40-6,5137,NCC(O)=O,75.067,68.43220057,3413.611,45.47418972
L- Alanine,56-41-7,2512,CC(N)C(O)=O,89.094,28.19494018,5616.794,63.04345972
L- Lysine,56-87-1,6638,NCCCCC(N)C(O)=O,146.19,45.40666256,2900.177,19.83840892
L-Arginine,74-79-3,6510,NC(CCCN=C(N)N)C(O)=O,174.204,37.36998002,1723.554,9.893883034
L-Asparagine,70-47-3,6461,NC(CC(N)=O)C(O)=O,132.119,48.90288301,5321.677,40.27942234
L-Aspartic acid,56-84-8,3263,NC(CC(O)=O)C(O)=O,133.103,24.5148494,4842.054,36.37824842
L-Cysteine,52-90-4,1476,NC(CS)C(O)=O,121.161,12.18213782,5530.43,45.6452984
L-Glutamic acid,56-86-0,5184,NC(CCC(O)=O)C(O)=O,147.13,35.23414667,8112.42,55.13776932
L-Glutamine,56-85-9,7058,N[C@@H](CCC(N)=O)C(O)=O,146.146,48.29417158,6315.324,43.2124314
L-Histidine,71-00-1,8656,NC(Cc1[nH]cnc1)C(O)=O,155.157,55.78865278,1523.616,9.819834104
L-Isoleucine,73-32-5,2019,CC[C@H](C)[C@H](N)C(O)=O,131.175,15.39165237,2238.124,17.06212312
L-Leucine,61-90-5,2402,CC(C)CC(N)C(O)=O,131.175,18.31141605,3432.909,26.17045169
L-Methionine,63-68-3,5235,CSCCC(N)C(O)=O,149.215,35.0836042,9089.069,60.91256911
L-Phenylalanine,63-91-2,2546,NC(Cc1ccccc1)C(O)=O,165.192,15.41236864,2211.314,13.38632621
L-Proline,147-85-3,2092,OC(=O)C1CCCN1,115.132,18.17044783,2798.389,24.30591842
L-Serine,56-45-1,5646,NC(CO)C(O)=O,105.093,53.72384459,8423.202,80.14998145
L-Threonine,72-19-5,5986,CC(O)C(N)C(O)=O,119.12,50.25184688,5091.478,42.7424278
L-Tryptophan,73-22-3,1424,NC(Cc1c[nH]c2ccccc12)C(O)=O,204.229,6.972565111,817.996,4.005288181
L-Tyrosine,60-18-4,2077,NC(Cc1ccc(O)cc1)C(O)=O,181.191,11.46304176,2543.584,14.03813655
L-Valine,72-18-4,2672,CC(C)C(N)C(O)=O,117.148,22.80875474,3050.425,26.03907024
